Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2Ov=0	Water	183.31008700, 183.31008700	3(1,3)-2(2,0)	-3.64630		136.1639	195.9097	JPL
H2Ov=0	Water	325.15289900, 325.15289900	5(1,5)-4(2,2)	-3.57110		315.7795	454.3369	JPL
H2Ov=0	Water	380.19735980, 380.19735980	4(1,4)-3(2,1)	-2.61520		212.1564	305.2461	JPL
H2Ov=0	Water	448.00107750, 448.00107750	4(2,3)-3(3,0)	-2.59350		285.4186	410.6542	JPL
H2Ov=0	Water	556.93598770, 556.93598770	1(1,0)-1(0,1)	-0.81890		23.7944	34.2349	JPL
H2Ov=0	Water	752.03314300, 752.03314300	2(1,1)-2(0,2)	-0.99850		70.0908	100.8452	JPL
H2Ov=0	Water	916.17158000, 916.17158000	4(2,2)-3(3,1)	-2.37550		285.2193	410.3675	JPL
