Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
CH3OHvt=0-2	Methanol	118.78514600, 118.78514600	8(0)-7(-2)E2vt=0	-8.4511		63.188	90.9129	JPL
CH3OHvt=0-2	Methanol	119.02887600, 119.02887600	3(-3)-4(3)E2vt=0	-18.5548		49.295	70.9241	JPL
CH3OHvt=0-2	Methanol	119.27108200, 119.27108200	18(-2)-17(-3)E2vt=0	-4.8505		290.315	417.6961	JPL
CH3OHvt=0-2	Methanol	119.27231500, 119.27231500	12(0)-11(-3)E2vt=1	-9.4724		330.411	475.385	JPL
CH3OHvt=0-2	Methanol	120.08325100, 120.08325100	8(3)-9(1)E1vt=0	-7.4759		87.239	125.5167	JPL
CH3OHvt=0-2	Methanol	120.19746200, 120.19746200	3(1)-2(2)E1vt=0	-5.5401		20.3	29.207	JPL
CH3OHvt=0-2	Methanol	121.06992300, 121.06992300	2(-2)-3(0)E2vt=0	-9.9927		18.803	27.0532	JPL
CH3OHvt=0-2	Methanol	121.36301400, 121.36301400	14(1)-13(3)E1vt=0	-7.0841		179.984	258.9553	JPL
CH3OHvt=0-2	Methanol	121.60766100, 121.60766100	8(1)--9(2)-vt=1	-4.8226		279.992	402.8437	JPL
CH3OHvt=0-2	Methanol	121.68990200, 121.68990200	2(2)-1(1)E1vt=0	-4.569		16.241	23.367	JPL
CH3OHvt=0-2	Methanol	121.77970800, 121.77970800	6(-3)-7(0)E2vt=1	-10.607		253.968	365.4012	JPL
CH3OHvt=0-2	Methanol	122.87700000, 122.87700000	9(3)-8(-3)E2vt=0	-14.1975		101.666	146.2739	JPL
CH3OHvt=0-2	Methanol	123.10765300, 123.10765300	11(3)--12(1)-vt=0	-10.0548		136.974	197.0739	JPL
CH3OHvt=0-2	Methanol	123.11050400, 123.11050400	7(5)--8(3)-vt=1	-10.5892		333.239	479.4538	JPL
CH3OHvt=0-2	Methanol	123.11063900, 123.11063900	7(5)+-8(3)+vt=1	-10.5892		333.239	479.4538	JPL
CH3OHvt=0-2	Methanol	123.12145200, 123.12145200	6(-4)-5(-1)E2vt=1	-9.6737		311.452	448.1074	JPL
CH3OHvt=0-2	Methanol	123.78239200, 123.78239200	12(-5)-13(-4)E2vt=0	-4.9694		207.858	299.0596	JPL
CH3OHvt=0-2	Methanol	123.82022500, 123.82022500	4(3)-5(2)E1vt=1	-6.6127		302.08	434.6232	JPL
CH3OHvt=0-2	Methanol	124.57003600, 124.57003600	6(0)-5(1)E1vt=0	-4.6674		38.833	55.8717	JPL
CH3OHvt=0-2	Methanol	126.65740600, 126.65740600	17(1)--17(1)+vt=0	-6.5679		254.58	366.2817	JPL
CH3OHvt=0-2	Methanol	128.29348000, 128.29348000	12(-2)-11(3)E2vt=0	-7.2562		139.647	200.9197	JPL
CH3OHvt=0-2	Methanol	128.92997900, 128.92997900	3(1)-4(-1)E2vt=0	-9.5086		20.009	28.7883	JPL
CH3OHvt=0-2	Methanol	129.43333800, 129.43333800	12(1)--11(2)-vt=0	-4.5788		132.657	190.8627	JPL
CH3OHvt=0-2	Methanol	131.13409400, 131.13409400	17(4)-18(3)E1vt=0	-4.829		309.063	444.6702	JPL
CH3OHvt=0-2	Methanol	132.62182400, 132.62182400	6(2)--7(1)-vt=0	-4.732		55.667	80.0919	JPL
CH3OHvt=0-2	Methanol	132.89075900, 132.89075900	6(-1)-5(0)E2vt=0	-4.4134		33.316	47.934	JPL
CH3OHvt=0-2	Methanol	133.42770400, 133.42770400	20(0)-20(-1)E2vt=0	-4.8878		341.622	491.515	JPL
CH3OHvt=0-2	Methanol	133.48870900, 133.48870900	10(-1)-9(2)E2vt=0	-6.9302		88.091	126.7426	JPL
CH3OHvt=0-2	Methanol	133.60543900, 133.60543900	5(-2)-6(-1)E2vt=0	-4.7835		37.749	54.3121	JPL
CH3OHvt=0-2	Methanol	134.23103900, 134.23103900	12(-3)-13(-2)E2vt=0	-4.6559		164.93	237.2961	JPL
CH3OHvt=0-2	Methanol	134.47391100, 134.47391100	18(3)+-19(0)+vt=0	-10.6683		305.872	440.079	JPL
CH3OHvt=0-2	Methanol	134.89688500, 134.89688500	8(2)--7(3)-vt=0	-4.8122		79.785	114.7922	JPL
CH3OHvt=0-2	Methanol	135.37681400, 135.37681400	8(2)+-7(3)+vt=0	-4.8091		79.785	114.7922	JPL
CH3OHvt=0-2	Methanol	136.17615800, 136.17615800	2(-1)-3(2)E2vt=1	-11.1681		287.597	413.7856	JPL
CH3OHvt=0-2	Methanol	136.32435500, 136.32435500	20(1)+-19(3)+vt=0	-9.5829		340.974	490.5827	JPL
CH3OHvt=0-2	Methanol	136.72834300, 136.72834300	16(3)+-15(4)+vt=0	-4.7403		249.385	358.8073	JPL
CH3OHvt=0-2	Methanol	136.91528800, 136.91528800	19(0)-19(-1)E2vt=0	-4.7658		309.545	445.3636	JPL
CH3OHvt=0-2	Methanol	137.23338000, 137.23338000	16(3)--15(4)-vt=0	-4.7371		249.385	358.8073	JPL
CH3OHvt=0-2	Methanol	137.90306400, 137.90306400	7(-4)-8(-3)E2vt=0	-5.0245		101.666	146.2739	JPL
CH3OHvt=0-2	Methanol	140.15120800, 140.15120800	18(0)-18(-1)E2vt=0	-4.6524		279.056	401.497	JPL
CH3OHvt=0-2	Methanol	140.77729000, 140.77729000	5(1)-4(-2)E2vt=0	-7.6787		34.137	49.1152	JPL
CH3OHvt=0-2	Methanol	141.32308400, 141.32308400	18(1)--18(1)+vt=0	-6.5617		283.306	407.6118	JPL
CH3OHvt=0-2	Methanol	141.39098400, 141.39098400	8(3)-7(5)E1vt=1	-9.1609		343.313	493.948	JPL
CH3OHvt=0-2	Methanol	141.39685200, 141.39685200	14(-3)-15(1)E2vt=0	-9.0645		208.226	299.589	JPL
CH3OHvt=0-2	Methanol	141.44126300, 141.44126300	0(0)-1(1)E1vt=1	-5.3328		204.194	293.7879	JPL
CH3OHvt=0-2	Methanol	143.10838500, 143.10838500	17(0)-17(-1)E2vt=0	-4.5478		250.157	359.9181	JPL
CH3OHvt=0-2	Methanol	143.16951700, 143.16951700	7(3)-8(2)E1vt=0	-4.7412		73.561	105.8373	JPL
CH3OHvt=0-2	Methanol	143.86579500, 143.86579500	3(1)+-2(1)+vt=0	-4.5391		14.904	21.4434	JPL
CH3OHvt=0-2	Methanol	144.58985400, 144.58985400	3(1)+-2(1)+vt=1	-4.9839		230.889	332.1959	JPL
CH3OHvt=0-2	Methanol	144.72835900, 144.72835900	3(2)+-2(2)+vt=1	-5.151		212.418	305.6204	JPL
CH3OHvt=0-2	Methanol	144.72878200, 144.72878200	3(-2)-2(-2)E2vt=1	-5.2429		258.246	371.5563	JPL
CH3OHvt=0-2	Methanol	144.72907400, 144.72907400	3(2)--2(2)-vt=1	-5.151		212.418	305.6204	JPL
CH3OHvt=0-2	Methanol	144.73326200, 144.73326200	3(2)-2(2)E1vt=1	-5.2962		282.769	406.8392	JPL
CH3OHvt=0-2	Methanol	144.73442900, 144.73442900	3(1)-2(1)E1vt=1	-4.9359		207.413	298.4193	JPL
CH3OHvt=0-2	Methanol	144.73634900, 144.73634900	3(0)-2(0)E1vt=1	-4.8972		213.74	307.5224	JPL
CH3OHvt=0-2	Methanol	144.75026400, 144.75026400	3(-1)-2(-1)E2vt=1	-5.1127		292.14	420.3219	JPL
CH3OHvt=0-2	Methanol	144.76819300, 144.76819300	3(0)+-2(0)+vt=1	-5.0754		299.28	430.5947	JPL
CH3OHvt=0-2	Methanol	144.87857600, 144.87857600	3(1)--2(1)-vt=1	-4.9822		230.899	332.2102	JPL
CH3OHvt=0-2	Methanol	145.09375400, 145.09375400	3(0)-2(0)E1vt=0	-4.4793		13.963	20.0895	JPL
CH3OHvt=0-2	Methanol	145.09743500, 145.09743500	3(-1)-2(-1)E2vt=0	-4.5191		8.717	12.5417	JPL
CH3OHvt=0-2	Methanol	145.10318500, 145.10318500	3(0)+-2(0)+vt=0	-4.46		4.84	6.9636	JPL
CH3OHvt=0-2	Methanol	145.12433200, 145.12433200	3(2)--2(2)-vt=0	-4.767		31.049	44.6723	JPL
CH3OHvt=0-2	Methanol	145.12619100, 145.12619100	3(2)-2(2)E1vt=0	-4.7523		20.3	29.207	JPL
CH3OHvt=0-2	Methanol	145.12638600, 145.12638600	3(-2)-2(-2)E2vt=0	-4.7521		22.841	32.8629	JPL
CH3OHvt=0-2	Methanol	145.13186400, 145.13186400	3(1)-2(1)E1vt=0	-4.5303		19.469	28.0114	JPL
CH3OHvt=0-2	Methanol	145.13341500, 145.13341500	3(2)+-2(2)+vt=0	-4.7669		31.049	44.6723	JPL
CH3OHvt=0-2	Methanol	145.17800900, 145.17800900	17(1)--16(3)-vt=0	-9.6368		253.962	365.3926	JPL
CH3OHvt=0-2	Methanol	145.47926000, 145.47926000	12(3)+-13(1)+vt=0	-9.8352		155.578	223.8408	JPL
CH3OHvt=0-2	Methanol	145.76622700, 145.76622700	16(0)-16(-1)E2vt=0	-4.4525		222.849	320.6282	JPL
CH3OHvt=0-2	Methanol	146.36832800, 146.36832800	3(1)--2(1)-vt=0	-4.5244		14.988	21.5643	JPL
CH3OHvt=0-2	Methanol	146.61742900, 146.61742900	14(1)+-13(2)+vt=0	-4.4684		173.051	248.9804	JPL
CH3OHvt=0-2	Methanol	146.61869700, 146.61869700	9(0)+-8(1)+vt=0	-4.3472		67.679	97.3744	JPL
CH3OHvt=0-2	Methanol	147.42766300, 147.42766300	7(0)-6(2)E1vt=0	-8.4298		49.349	71.0018	JPL
CH3OHvt=0-2	Methanol	147.94367300, 147.94367300	7(1)-6(0)E1vt=1	-4.7672		242.705	349.1963	JPL
CH3OHvt=0-2	Methanol	148.11199300, 148.11199300	15(0)-15(-1)E2vt=0	-4.3669		197.135	283.6317	JPL
CH3OHvt=0-2	Methanol	148.63239600, 148.63239600	11(3)-12(0)E1vt=0	-6.7057		134.689	193.7863	JPL
CH3OHvt=0-2	Methanol	149.53251700, 149.53251700	14(2)-13(3)E1vt=0	-4.5606		179.984	258.9553	JPL
CH3OHvt=0-2	Methanol	150.14167200, 150.14167200	14(0)-14(-1)E2vt=0	-4.2914		173.017	248.9314	JPL
CH3OHvt=0-2	Methanol	150.88454300, 150.88454300	12(-1)-11(-2)E2vt=0	-4.4963		124.544	179.19	JPL
CH3OHvt=0-2	Methanol	151.37063400, 151.37063400	19(0)-18(3)E1vt=0	-6.3037		309.063	444.6702	JPL
CH3OHvt=0-2	Methanol	151.86024900, 151.86024900	13(0)-13(-1)E2vt=0	-4.2262		150.497	216.5304	JPL
CH3OHvt=0-2	Methanol	152.44310300, 152.44310300	14(-3)-13(-4)E2vt=0	-4.6544		207.858	299.0596	JPL
CH3OHvt=0-2	Methanol	152.70844900, 152.70844900	9(4)--10(3)-vt=0	-4.7346		123.338	177.4548	JPL
CH3OHvt=0-2	Methanol	152.74021200, 152.74021200	9(4)+-10(3)+vt=0	-4.7344		123.337	177.4534	JPL
CH3OHvt=0-2	Methanol	153.02320100, 153.02320100	9(2)-8(-1)E2vt=1	-8.7652		345.246	496.7291	JPL
CH3OHvt=0-2	Methanol	153.28128200, 153.28128200	12(0)-12(-1)E2vt=0	-4.1716		129.577	186.4313	JPL
CH3OHvt=0-2	Methanol	153.85870700, 153.85870700	3(2)-4(-1)E2vt=0	-9.1436		20.009	28.7883	JPL
CH3OHvt=0-2	Methanol	154.42583200, 154.42583200	11(0)-11(-1)E2vt=0	-4.1281		110.258	158.6358	JPL
CH3OHvt=0-2	Methanol	155.32089500, 155.32089500	10(0)-10(-1)E2vt=0	-4.0958		92.543	133.148	JPL
CH3OHvt=0-2	Methanol	155.99752400, 155.99752400	9(0)-9(-1)E2vt=0	-4.0753		76.433	109.9694	JPL
CH3OHvt=0-2	Methanol	156.01294000, 156.01294000	20(0)+-19(2)+vt=0	-8.6281		332.785	478.8006	JPL
CH3OHvt=0-2	Methanol	156.12754400, 156.12754400	6(2)+-7(1)+vt=0	-4.5895		54.888	78.9711	JPL
CH3OHvt=0-2	Methanol	156.17174700, 156.17174700	18(-3)-19(0)E2vt=0	-6.0894		314.112	451.9345	JPL
CH3OHvt=0-2	Methanol	156.48890200, 156.48890200	8(0)-8(-1)E2vt=0	-4.0671		61.93	89.1029	JPL
