Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
NH3v=0	Ammonia	330.17146500, 330.17146500	5(1)0a-5(2)0a	-8.52890		282.8233	406.9173	JPL
NH3v=0	Ammonia	330.70467600, 330.70467600	5(1)0s-5(2)0s	-8.20510		282.1438	405.9397	JPL
NH3v=0	Ammonia	331.51857900, 331.51857900	4(1)0a-4(2)0a	-8.78480		183.7596	264.3876	JPL
NH3v=0	Ammonia	332.08747400, 332.08747400	4(1)0s-4(2)0s	-8.44070		183.0357	263.3460	JPL
NH3v=0	Ammonia	572.49712820, 572.49712820	1(0)0s-0(0)0a,F=1-1	-1.99110		0.7934	1.1415	TopModel
NH3v=0	Ammonia	572.49815990, 572.49815990	1(0)0s-0(0)0a	-1.51280		0.0000	0.0000	JPL
NH3v=0	Ammonia	572.49835440, 572.49835440	1(0)0s-0(0)0a,F=2-1	-1.76920		0.7934	1.1415	TopModel
NH3v=0	Ammonia	572.50019380, 572.50019380	1(0)0s-0(0)0a,F=0-1	-2.46820		0.7934	1.1415	TopModel
