Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CO	Formaldehyde	281.52692900, 281.52692900	4(1,4)-3(1,3)	-2.0071		22.2822	32.0589	CDMS
H2CO	Formaldehyde	281.52693230, 281.52693230	4(1,4)-3(1,3),F=3-3	-3.6883		22.2822	32.0589	CDMS
H2CO	Formaldehyde	281.52693450, 281.52693450	4(1,4)-3(1,3),F=3-4	-5.4877		22.2822	32.0589	CDMS
H2CO	Formaldehyde	290.62340500, 290.62340500	4(0,4)-3(0,3)	-2.4129		14.5655	20.9564	CDMS
H2CO	Formaldehyde	291.23776640, 291.23776640	4(2,3)-3(2,2)	-2.6042		47.3278	68.0938	CDMS
H2CO	Formaldehyde	291.38044230, 291.38044230	4(3,2)-3(3,1)	-2.4459		88.2382	126.9544	CDMS
H2CO	Formaldehyde	291.38436150, 291.38436150	4(3,1)-3(3,0)	-2.4459		88.2383	126.9545	CDMS
H2CO	Formaldehyde	291.94806740, 291.94806740	4(2,2)-3(2,1)	-2.6021		47.3397	68.1109	CDMS
H2CO	Formaldehyde	300.83661160, 300.83661160	4(1,3)-3(1,2),F=3-3	-3.6334		23.2487	33.4495	CDMS
H2CO	Formaldehyde	300.83662250, 300.83662250	4(1,3)-3(1,2),F=3-4	-5.4327		23.2487	33.4495	CDMS
H2CO	Formaldehyde	300.83663120, 300.83663120	4(1,3)-3(1,2),F=3-2	-2.5754		23.2487	33.4495	CDMS
H2CO	Formaldehyde	300.83663200, 300.83663200	4(1,3)-3(1,2),F=4-3	-2.4573		23.2487	33.4495	CDMS
H2CO	Formaldehyde	300.83663220, 300.83663220	4(1,3)-3(1,2),F=5-4	-2.3421		23.2487	33.4495	CDMS
H2CO	Formaldehyde	300.83663500, 300.83663500	4(1,3)-3(1,2)	-1.9522		23.2487	33.4495	CDMS
H2CO	Formaldehyde	300.83664290, 300.83664290	4(1,3)-3(1,2),F=4-4	-3.6334		23.2487	33.4495	CDMS
H2CO	Formaldehyde	307.23834360, 307.23834360	9(2,7)-10(0,10)	-5.3254		132.4609	190.5806	CDMS
H2CO	Formaldehyde	316.45682620, 316.45682620	11(1,10)-11(1,11)	-3.5217		162.8145	234.2524	CDMS
H2CO	Formaldehyde	351.76863780, 351.76863780	5(1,5)-4(1,4),F=6-5	-2.133		31.6729	45.57	CDMS
H2CO	Formaldehyde	351.76863920, 351.76863920	5(1,5)-4(1,4),F=5-4	-2.2233		31.6729	45.57	CDMS
H2CO	Formaldehyde	351.76864020, 351.76864020	5(1,5)-4(1,4),F=4-3	-2.3147		31.6729	45.57	CDMS
H2CO	Formaldehyde	351.76864310, 351.76864310	5(1,5)-4(1,4),F=5-5	-3.6035		31.6729	45.57	CDMS
H2CO	Formaldehyde	351.76864500, 351.76864500	5(1,5)-4(1,4)	-1.7284		31.6729	45.57	CDMS
H2CO	Formaldehyde	351.76865160, 351.76865160	5(1,5)-4(1,4),F=4-4	-3.6035		31.6729	45.57	CDMS
H2CO	Formaldehyde	351.76865540, 351.76865540	5(1,5)-4(1,4),F=4-5	-5.5991		31.6729	45.57	CDMS
H2CO	Formaldehyde	361.96756040, 361.96756040	8(2,6)-9(0,9)	-5.2548		108.5464	156.1732	CDMS
H2CO	Formaldehyde	362.73604800, 362.73604800	5(0,5)-4(0,4)	-2.1463		24.2597	34.9041	CDMS
H2CO	Formaldehyde	363.94589400, 363.94589400	5(2,4)-4(2,3)	-2.2872		57.0425	82.071	CDMS
