#Species	Ordered Freq (GHz) (rest frame)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CO	173.461705	8(1,7)-8(1,8)	-3.7684		92.6337	133.2785	CDMS
H13CO+	173.5067003	2-1	-1.3868	0.28	2.8938	4.1635	CDMS
SO3&Sigma;v=0	173.7058109	15(15)-16(15)	-5.9755		175.5659	252.5987	JPL
SO3&Sigma;v=0	174.3270943	14(14)-15(14)	-5.9573		154.0218	221.6017	JPL
H2CS	174.34485	5(1,4)-4(1,3)	-2.9284		20.7991	29.9251	JPL
CCHv=0	174.663222	N=2-1,J=5/2-3/2,F=3-2	-3.2101		2.9141	4.1927	JPL
SO3&Sigma;v=0	174.92886	6(7)-6(6)	-3.9799		39.2682	56.4979	JPL
SO3&Sigma;v=0	175.055974	13(13)-14(13)	-5.9438		133.9072	192.6615	JPL
SO3&Sigma;v=0	175.9151255	12(12)-13(12)	-5.9353		115.2217	165.7774	JPL
SO3&Sigma;v=0	176.934014	11(11)-12(11)	-5.9321		97.9646	140.9484	JPL
HCNv=0	177.2611115	J=2-1	-1.6188		2.9564	4.2536	CDMS
SO3&Sigma;v=0	178.1515912	10(10)-11(10)	-5.9346		82.135	118.1733	JPL
HCO+v=0	178.3750563	2-1	-1.367		2.975	4.2803	CDMS
H2CS	178.379617	18(1,17)-18(1,18)	-4.9302		201.9299	290.5304	JPL
SO3&Sigma;v=0	178.605403	5(4)-4(3)	-2.5568		11.0213	15.8571	JPL
SO3&Sigma;v=0	179.620354	9(9)-10(9)	-5.9434		67.7314	97.4498	JPL
H2CO	181.017384	12(2,10)-13(0,13)	-5.7384		218.0209	313.6816	CDMS
SO3&Sigma;v=0	181.4126187	8(8)-9(8)	-5.9593		54.7518	78.7752	JPL
H2Ov=0	183.310087	3(1,3)-2(2,0)	-3.6463		136.1639	195.9097	JPL
SO3&Sigma;v=0	183.6304989	7(7)-8(7)	-5.9835		43.1928	62.1444	JPL
13CSv=0	184.981772	4-3	-1.9163		9.2558	13.317	CDMS
N2H+v=0	186.344771	J=2-1	-1.4139		3.1079	4.4715	JPL
C34Sv=0	192.8184566	4-3	-1.8632		9.6479	9.7258	CDMS
CSv=0	195.9542109	4-3	-1.8426	3.3	9.8048	14.1068	CDMS
H2CS	198.0890571	19(1,18)-19(1,19)	-4.9067		223.3254	321.3136	JPL
H2CS	202.9235152	6(1,6)-5(1,5)	-2.7239		26.0911	37.5391	JPL
H2S	204.14017	4(1,4)-3(2,1)	-5.5744		107.3682	154.4799	CDMS
