# member.uid___A001_X133d_X19a3.GM_Aur_sci.spw35.cube.I.pbcor.fits, region=
# beam size: 1.7830495657080387 arcsec2, 55.03239400298232 pixels
# Total flux: 
# Channel number_of_unmasked_pixels Frequency_(GHz) Velocity_(km/s) Sum_(Jy/beam)
148 2207 89.166904 72.679706 0.112788
149 2207 89.166965 72.474457 -0.011023
150 2207 89.167026 72.269208 0.157301
151 2207 89.167087 72.063959 -0.351111
152 2207 89.167148 71.858710 -0.224880
153 2207 89.167209 71.653461 -0.245373
154 2207 89.167270 71.448212 -0.657859
155 2207 89.167331 71.242963 -0.699712
156 2207 89.167392 71.037714 0.235723
157 2207 89.167453 70.832465 -0.041766
158 2207 89.167514 70.627216 1.023144
159 2207 89.167575 70.421967 0.275295
160 2207 89.167636 70.216718 -0.304298
161 2207 89.167698 70.011469 -0.395213
162 2207 89.167759 69.806220 -0.099010
163 2207 89.167820 69.600971 0.016389
164 2207 89.167881 69.395722 -0.535828
165 2207 89.167942 69.190473 -1.217872
166 2207 89.168003 68.985224 -0.600056
167 2207 89.168064 68.779975 0.769234
168 2207 89.168125 68.574726 0.090288
169 2207 89.168186 68.369477 0.492550
170 2207 89.168247 68.164228 -0.118239
171 2207 89.168308 67.958979 0.018217
172 2207 89.168369 67.753730 -1.127244
173 2207 89.168430 67.548481 -0.788438
174 2207 89.168491 67.343232 -0.484612
175 2207 89.168552 67.137983 -0.919084
176 2207 89.168613 66.932734 0.338822
177 2207 89.168675 66.727485 -0.378833
178 2207 89.168736 66.522236 -1.801770
179 2207 89.168797 66.316987 -0.363388
180 2207 89.168858 66.111738 0.747051
181 2207 89.168919 65.906489 -0.248401
182 2207 89.168980 65.701240 -1.166279
183 2207 89.169041 65.495991 0.638109
184 2207 89.169102 65.290742 1.177205
185 2207 89.169163 65.085493 0.657810
186 2207 89.169224 64.880244 -0.513009
187 2207 89.169285 64.674995 -0.338558
188 2207 89.169346 64.469746 1.011124
189 2207 89.169407 64.264497 1.235843
190 2207 89.169468 64.059248 -0.497493
191 2207 89.169529 63.853999 -0.609548
192 2207 89.169590 63.648750 -0.568177
193 2207 89.169652 63.443501 -0.348702
194 2207 89.169713 63.238252 -0.460705
195 2207 89.169774 63.033003 -0.246740
196 2207 89.169835 62.827754 0.204265
197 2207 89.169896 62.622505 -0.941703
198 2207 89.169957 62.417256 -1.303854
199 2207 89.170018 62.212007 -0.117165
200 2207 89.170079 62.006758 0.116912
201 2207 89.170140 61.801509 -0.336997
202 2207 89.170201 61.596260 -0.059303
203 2207 89.170262 61.391011 -0.032073
204 2207 89.170323 61.185762 -0.086785
205 2207 89.170384 60.980513 0.191485
206 2207 89.170445 60.775264 0.851898
207 2207 89.170506 60.570015 0.446387
208 2207 89.170567 60.364766 0.587216
209 2207 89.170628 60.159517 -0.355984
210 2207 89.170690 59.954268 -1.032988
211 2207 89.170751 59.749019 0.057383
212 2207 89.170812 59.543770 1.005464
213 2207 89.170873 59.338521 0.162802
214 2207 89.170934 59.133272 0.539418
215 2207 89.170995 58.928023 0.548614
216 2207 89.171056 58.722774 0.974257
217 2207 89.171117 58.517525 0.544555
218 2207 89.171178 58.312276 -0.426032
219 2207 89.171239 58.107027 -1.553570
220 2207 89.171300 57.901778 -0.563043
221 2207 89.171361 57.696530 -0.572854
222 2207 89.171422 57.491281 -0.290713
223 2207 89.171483 57.286032 0.927500
224 2207 89.171544 57.080783 0.914749
225 2207 89.171605 56.875534 0.741786
226 2207 89.171667 56.670285 0.605075
227 2207 89.171728 56.465036 -1.075865
228 2207 89.171789 56.259787 -0.809491
229 2207 89.171850 56.054538 -0.821755
230 2207 89.171911 55.849289 -0.008125
231 2207 89.171972 55.644040 0.243344
232 2207 89.172033 55.438791 -0.697339
233 2207 89.172094 55.233542 -0.231438
234 2207 89.172155 55.028293 0.146308
235 2207 89.172216 54.823044 0.498078
236 2207 89.172277 54.617795 0.490725
237 2207 89.172338 54.412546 -0.151744
238 2207 89.172399 54.207297 -0.397724
239 2207 89.172460 54.002048 -0.604932
240 2207 89.172521 53.796799 -0.855919
241 2207 89.172582 53.591550 0.224802
242 2207 89.172644 53.386301 0.661911
243 2207 89.172705 53.181052 0.465927
244 2207 89.172766 52.975803 0.619332
245 2207 89.172827 52.770554 0.589727
246 2207 89.172888 52.565305 -0.152946
247 2207 89.172949 52.360056 -0.374008
248 2207 89.173010 52.154807 -1.093581
249 2207 89.173071 51.949558 -0.447882
250 2207 89.173132 51.744309 -1.082143
251 2207 89.173193 51.539060 0.099500
252 2207 89.173254 51.333811 -0.371067
253 2207 89.173315 51.128562 -0.277375
254 2207 89.173376 50.923313 0.481251
255 2207 89.173437 50.718064 0.711892
256 2207 89.173498 50.512815 0.045544
257 2207 89.173559 50.307566 -1.602277
258 2207 89.173621 50.102317 -0.506696
259 2207 89.173682 49.897068 -0.534271
260 2207 89.173743 49.691819 -1.178435
261 2207 89.173804 49.486570 -0.989330
262 2207 89.173865 49.281321 0.281269
263 2207 89.173926 49.076072 0.198760
264 2207 89.173987 48.870823 0.281010
265 2207 89.174048 48.665574 0.540125
266 2207 89.174109 48.460325 0.959845
267 2207 89.174170 48.255076 -0.071774
268 2207 89.174231 48.049827 -0.219537
269 2207 89.174292 47.844578 -0.762868
270 2207 89.174353 47.639329 -0.305224
271 2207 89.174414 47.434080 -0.487130
272 2207 89.174475 47.228831 -0.377362
273 2207 89.174536 47.023582 0.384935
274 2207 89.174598 46.818333 0.410707
275 2207 89.174659 46.613084 -0.228186
276 2207 89.174720 46.407835 -0.511733
277 2207 89.174781 46.202586 -0.742459
278 2207 89.174842 45.997337 -0.746635
279 2207 89.174903 45.792088 -1.535977
280 2207 89.174964 45.586839 -0.964758
281 2207 89.175025 45.381590 -0.472304
282 2207 89.175086 45.176341 -1.145621
283 2207 89.175147 44.971092 -0.910892
284 2207 89.175208 44.765843 -0.629116
285 2207 89.175269 44.560594 -0.381212
286 2207 89.175330 44.355345 0.178345
287 2207 89.175391 44.150096 0.274956
288 2207 89.175452 43.944847 0.003782
289 2207 89.175513 43.739598 0.311509
290 2207 89.175574 43.534349 -0.287760
291 2207 89.175636 43.329100 -0.470762
292 2207 89.175697 43.123851 0.015374
293 2207 89.175758 42.918602 0.601684
294 2207 89.175819 42.713353 -0.443022
295 2207 89.175880 42.508104 -0.547975
296 2207 89.175941 42.302855 0.197317
297 2207 89.176002 42.097606 -0.649653
298 2207 89.176063 41.892357 0.138686
299 2207 89.176124 41.687108 0.377261
300 2207 89.176185 41.481859 0.599954
301 2207 89.176246 41.276610 -0.462700
302 2207 89.176307 41.071361 -0.032577
303 2207 89.176368 40.866112 0.594018
304 2207 89.176429 40.660863 0.260492
305 2207 89.176490 40.455614 -0.100622
306 2207 89.176551 40.250365 0.034727
307 2207 89.176613 40.045116 0.243223
308 2207 89.176674 39.839867 -0.474276
309 2207 89.176735 39.634618 -0.870381
310 2207 89.176796 39.429369 -1.148058
311 2207 89.176857 39.224120 -0.974199
312 2207 89.176918 39.018871 -0.102313
313 2207 89.176979 38.813622 0.345115
314 2207 89.177040 38.608373 1.139773
315 2207 89.177101 38.403124 1.496264
316 2207 89.177162 38.197875 1.227310
317 2207 89.177223 37.992626 0.454838
318 2207 89.177284 37.787378 0.437829
319 2207 89.177345 37.582129 0.220410
320 2207 89.177406 37.376880 1.176075
321 2207 89.177467 37.171631 0.107306
322 2207 89.177528 36.966382 0.820158
323 2207 89.177590 36.761133 0.558491
324 2207 89.177651 36.555884 0.947291
325 2207 89.177712 36.350635 0.591010
326 2207 89.177773 36.145386 -0.324420
327 2207 89.177834 35.940137 -0.667555
328 2207 89.177895 35.734888 -0.195539
329 2207 89.177956 35.529639 -0.121078
330 2207 89.178017 35.324390 0.152535
331 2207 89.178078 35.119141 -0.216598
332 2207 89.178139 34.913892 -0.170949
