# member.uid___A001_X133d_X19a3.GM_Aur_sci.spw35.cube.I.pbcor.fits, region=
# beam size: 1.7830495657080387 arcsec2, 55.03239400298232 pixels
# Total flux: 
# Channel number_of_unmasked_pixels Frequency_(GHz) Velocity_(km/s) Sum_(Jy/beam)
648 2207 89.197435 -29.944789 -0.753479
649 2207 89.197496 -30.150038 0.065600
650 2207 89.197557 -30.355287 0.104497
651 2207 89.197618 -30.560536 -0.463598
652 2207 89.197679 -30.765785 -0.672453
653 2207 89.197740 -30.971034 0.174970
654 2207 89.197801 -31.176283 0.294593
655 2207 89.197862 -31.381532 1.196298
656 2207 89.197923 -31.586781 1.026921
657 2207 89.197984 -31.792030 0.719259
658 2207 89.198045 -31.997279 0.313475
659 2207 89.198106 -32.202528 -0.301636
660 2207 89.198167 -32.407777 1.054198
661 2207 89.198228 -32.613026 1.218330
662 2207 89.198289 -32.818275 0.215261
663 2207 89.198351 -33.023524 -0.189561
664 2207 89.198412 -33.228773 -0.509174
665 2207 89.198473 -33.434022 -0.464781
666 2207 89.198534 -33.639271 0.213170
667 2207 89.198595 -33.844520 -0.935497
668 2207 89.198656 -34.049769 -0.908990
669 2207 89.198717 -34.255018 -0.856203
670 2207 89.198778 -34.460267 -0.893609
671 2207 89.198839 -34.665516 -0.200267
672 2207 89.198900 -34.870765 0.169274
673 2207 89.198961 -35.076014 0.400746
674 2207 89.199022 -35.281263 0.695435
675 2207 89.199083 -35.486512 0.788151
676 2207 89.199144 -35.691761 0.911403
677 2207 89.199205 -35.897010 0.966884
678 2207 89.199266 -36.102259 0.778711
679 2207 89.199328 -36.307508 1.327842
680 2207 89.199389 -36.512757 0.569381
681 2207 89.199450 -36.718006 0.897462
682 2207 89.199511 -36.923255 -0.179554
683 2207 89.199572 -37.128504 0.134343
684 2207 89.199633 -37.333753 0.822596
685 2207 89.199694 -37.539002 1.155035
686 2207 89.199755 -37.744251 1.065981
687 2207 89.199816 -37.949500 0.804008
688 2207 89.199877 -38.154749 -0.121807
689 2207 89.199938 -38.359998 -0.584943
690 2207 89.199999 -38.565247 0.164891
691 2207 89.200060 -38.770496 0.135875
692 2207 89.200121 -38.975745 0.168390
693 2207 89.200182 -39.180994 0.134590
694 2207 89.200243 -39.386243 -0.115965
695 2207 89.200305 -39.591492 -0.760450
696 2207 89.200366 -39.796741 -0.446233
697 2207 89.200427 -40.001990 0.050470
698 2207 89.200488 -40.207239 -0.210815
699 2207 89.200549 -40.412488 -0.699524
700 2207 89.200610 -40.617737 -0.028120
701 2207 89.200671 -40.822986 0.426101
702 2207 89.200732 -41.028235 1.565997
703 2207 89.200793 -41.233484 0.677970
704 2207 89.200854 -41.438732 1.354299
705 2207 89.200915 -41.643981 1.196850
706 2207 89.200976 -41.849230 0.786620
707 2207 89.201037 -42.054479 0.754227
708 2207 89.201098 -42.259728 -0.377960
709 2207 89.201159 -42.464977 -0.051434
710 2207 89.201220 -42.670226 0.032835
711 2207 89.201281 -42.875475 0.485970
712 2207 89.201343 -43.080724 0.837776
713 2207 89.201404 -43.285973 -0.442989
714 2207 89.201465 -43.491222 -0.474794
715 2207 89.201526 -43.696471 -0.029905
716 2207 89.201587 -43.901720 -0.194418
717 2207 89.201648 -44.106969 -1.181036
718 2207 89.201709 -44.312218 -0.071196
719 2207 89.201770 -44.517467 0.614004
720 2207 89.201831 -44.722716 0.356486
721 2207 89.201892 -44.927965 -0.146164
722 2207 89.201953 -45.133214 -0.187221
723 2207 89.202014 -45.338463 -0.676751
724 2207 89.202075 -45.543712 -0.573834
725 2207 89.202136 -45.748961 0.180981
726 2207 89.202197 -45.954210 0.169176
727 2207 89.202258 -46.159459 0.091276
728 2207 89.202320 -46.364708 0.040258
729 2207 89.202381 -46.569957 -0.013832
730 2207 89.202442 -46.775206 0.105328
731 2207 89.202503 -46.980455 -0.187955
732 2207 89.202564 -47.185704 -0.034748
733 2207 89.202625 -47.390953 0.077178
734 2207 89.202686 -47.596202 0.571120
735 2207 89.202747 -47.801451 0.533240
736 2207 89.202808 -48.006700 -0.182827
737 2207 89.202869 -48.211949 1.029674
738 2207 89.202930 -48.417198 0.881638
739 2207 89.202991 -48.622447 0.272815
740 2207 89.203052 -48.827696 0.221645
741 2207 89.203113 -49.032945 0.036124
742 2207 89.203174 -49.238194 0.697982
743 2207 89.203235 -49.443443 0.322041
744 2207 89.203297 -49.648692 -0.038574
745 2207 89.203358 -49.853941 -0.080819
746 2207 89.203419 -50.059190 0.532700
747 2207 89.203480 -50.264439 0.286430
748 2207 89.203541 -50.469688 -0.956553
749 2207 89.203602 -50.674937 -0.355484
750 2207 89.203663 -50.880186 1.145547
751 2207 89.203724 -51.085435 0.314901
752 2207 89.203785 -51.290684 -0.700197
753 2207 89.203846 -51.495933 -0.642222
754 2207 89.203907 -51.701182 -0.654714
755 2207 89.203968 -51.906431 -0.064947
756 2207 89.204029 -52.111680 0.369359
757 2207 89.204090 -52.316929 0.531807
758 2207 89.204151 -52.522178 -0.002118
759 2207 89.204212 -52.727427 0.168185
760 2207 89.204274 -52.932676 0.027747
761 2207 89.204335 -53.137925 0.418380
762 2207 89.204396 -53.343174 -0.478236
763 2207 89.204457 -53.548423 -0.224639
764 2207 89.204518 -53.753672 -0.029895
765 2207 89.204579 -53.958921 -0.255080
766 2207 89.204640 -54.164170 0.300512
767 2207 89.204701 -54.369419 -0.162655
768 2207 89.204762 -54.574668 -0.275937
769 2207 89.204823 -54.779917 0.111503
770 2207 89.204884 -54.985166 0.331523
771 2207 89.204945 -55.190415 0.052460
772 2207 89.205006 -55.395664 -0.537061
773 2207 89.205067 -55.600913 0.423672
774 2207 89.205128 -55.806162 0.661850
775 2207 89.205189 -56.011411 0.609290
776 2207 89.205251 -56.216660 -0.400018
777 2207 89.205312 -56.421909 0.593817
778 2207 89.205373 -56.627158 0.141352
779 2207 89.205434 -56.832407 -0.215874
780 2207 89.205495 -57.037656 0.379693
781 2207 89.205556 -57.242905 0.704101
782 2207 89.205617 -57.448154 0.038967
783 2207 89.205678 -57.653403 0.174794
784 2207 89.205739 -57.858652 0.202634
785 2207 89.205800 -58.063901 -0.390275
786 2207 89.205861 -58.269150 -0.623418
787 2207 89.205922 -58.474399 0.067398
788 2207 89.205983 -58.679648 0.310399
789 2207 89.206044 -58.884897 0.350856
790 2207 89.206105 -59.090146 -0.332629
791 2207 89.206166 -59.295395 -0.426261
792 2207 89.206227 -59.500644 -0.891949
793 2207 89.206289 -59.705893 -0.862711
794 2207 89.206350 -59.911142 -1.037828
795 2207 89.206411 -60.116391 -0.879385
796 2207 89.206472 -60.321640 -0.027935
797 2207 89.206533 -60.526889 0.200976
798 2207 89.206594 -60.732138 0.367615
799 2207 89.206655 -60.937387 0.886350
800 2207 89.206716 -61.142635 0.091797
801 2207 89.206777 -61.347884 -0.341061
802 2207 89.206838 -61.553133 -1.160136
803 2207 89.206899 -61.758382 -0.141574
804 2207 89.206960 -61.963631 -0.104274
805 2207 89.207021 -62.168880 -0.140141
806 2207 89.207082 -62.374129 -0.279459
807 2207 89.207143 -62.579378 -0.374841
808 2207 89.207204 -62.784627 0.501172
809 2207 89.207266 -62.989876 -0.304228
810 2207 89.207327 -63.195125 0.115656
811 2207 89.207388 -63.400374 -0.408730
812 2207 89.207449 -63.605623 -1.063606
813 2207 89.207510 -63.810872 -0.870171
814 2207 89.207571 -64.016121 -0.675692
815 2207 89.207632 -64.221370 -0.104898
816 2207 89.207693 -64.426619 -0.714540
817 2207 89.207754 -64.631868 0.006073
818 2207 89.207815 -64.837117 -0.085701
819 2207 89.207876 -65.042366 -0.978691
820 2207 89.207937 -65.247615 -1.781933
821 2207 89.207998 -65.452864 -0.748861
822 2207 89.208059 -65.658113 0.442256
823 2207 89.208120 -65.863362 0.404925
824 2207 89.208181 -66.068611 -0.529709
825 2207 89.208243 -66.273860 -0.453604
826 2207 89.208304 -66.479109 -0.086044
827 2207 89.208365 -66.684358 0.285273
828 2207 89.208426 -66.889607 0.195044
829 2207 89.208487 -67.094856 0.432762
830 2207 89.208548 -67.300105 0.168453
831 2207 89.208609 -67.505354 -0.813070
832 2207 89.208670 -67.710603 -0.872519
833 2207 89.208731 -67.915852 0.695230
834 2207 89.208792 -68.121101 1.528822
835 2207 89.208853 -68.326350 0.903301
836 2207 89.208914 -68.531599 0.262280
837 2207 89.208975 -68.736848 0.061760
838 2207 89.209036 -68.942097 0.937076
839 2207 89.209097 -69.147346 0.942418
840 2207 89.209158 -69.352595 0.452217
841 2207 89.209220 -69.557844 0.325613
842 2207 89.209281 -69.763093 0.605714
843 2207 89.209342 -69.968342 0.336403
844 2207 89.209403 -70.173591 1.094895
845 2207 89.209464 -70.378840 0.404608
846 2207 89.209525 -70.584089 -0.937175
847 2207 89.209586 -70.789338 -0.262056
848 2207 89.209647 -70.994587 -0.298101
849 2207 89.209708 -71.199836 0.720397
850 2207 89.209769 -71.405085 1.030919
851 2207 89.209830 -71.610334 -0.139513
852 2207 89.209891 -71.815583 -0.441152
853 2207 89.209952 -72.020832 -0.574497
854 2207 89.210013 -72.226081 -0.696422
855 2207 89.210074 -72.431330 -0.521402
856 2207 89.210135 -72.636579 0.122840
857 2207 89.210197 -72.841828 0.153629
858 2207 89.210258 -73.047077 0.165961
859 2207 89.210319 -73.252326 -0.481476
860 2207 89.210380 -73.457575 -1.280108
861 2207 89.210441 -73.662824 -0.402283
862 2207 89.210502 -73.868073 -0.128480
863 2207 89.210563 -74.073322 -0.120264
864 2207 89.210624 -74.278571 0.984189
865 2207 89.210685 -74.483820 0.982673
866 2207 89.210746 -74.689069 0.943537
867 2207 89.210807 -74.894318 0.501158
868 2207 89.210868 -75.099567 0.251081
869 2207 89.210929 -75.304816 0.773726
870 2207 89.210990 -75.510065 0.252367
871 2207 89.211051 -75.715314 0.157331
872 2207 89.211112 -75.920563 -0.273788
873 2207 89.211173 -76.125812 0.542604
874 2207 89.211235 -76.331061 0.580770
875 2207 89.211296 -76.536310 0.527668
876 2207 89.211357 -76.741559 0.379434
877 2207 89.211418 -76.946808 -0.038072
878 2207 89.211479 -77.152057 -0.384463
879 2207 89.211540 -77.357306 0.010153
880 2207 89.211601 -77.562555 0.981575
881 2207 89.211662 -77.767804 -0.030412
882 2207 89.211723 -77.973053 -0.132155
883 2207 89.211784 -78.178302 -0.026215
884 2207 89.211845 -78.383551 -0.427112
885 2207 89.211906 -78.588800 -0.585790
886 2207 89.211967 -78.794049 -0.324369
887 2207 89.212028 -78.999298 0.591585
888 2207 89.212089 -79.204547 0.053703
889 2207 89.212150 -79.409796 0.063110
890 2207 89.212212 -79.615045 0.285484
891 2207 89.212273 -79.820294 0.331376
892 2207 89.212334 -80.025543 -1.068848
893 2207 89.212395 -80.230792 -0.228802
894 2207 89.212456 -80.436041 -0.015473
895 2207 89.212517 -80.641290 0.065525
896 2207 89.212578 -80.846539 0.263793
897 2207 89.212639 -81.051787 -0.474530
898 2207 89.212700 -81.257036 0.453177
899 2207 89.212761 -81.462285 1.061034
900 2207 89.212822 -81.667534 -0.107127
901 2207 89.212883 -81.872783 -0.440739
902 2207 89.212944 -82.078032 0.058841
903 2207 89.213005 -82.283281 -0.227015
904 2207 89.213066 -82.488530 -0.936458
905 2207 89.213127 -82.693779 0.118444
906 2207 89.213189 -82.899028 0.628733
907 2207 89.213250 -83.104277 0.192266
908 2207 89.213311 -83.309526 -0.438763
909 2207 89.213372 -83.514775 -0.645205
910 2207 89.213433 -83.720024 0.020836
911 2207 89.213494 -83.925273 0.121023
912 2207 89.213555 -84.130522 -0.199987
913 2207 89.213616 -84.335771 -0.663842
914 2207 89.213677 -84.541020 -0.172508
915 2207 89.213738 -84.746269 -0.144777
916 2207 89.213799 -84.951518 -0.270947
917 2207 89.213860 -85.156767 -0.170017
918 2207 89.213921 -85.362016 -0.784479
919 2207 89.213982 -85.567265 -1.711201
920 2207 89.214043 -85.772514 -0.697573
921 2207 89.214104 -85.977763 -0.019181
922 2207 89.214166 -86.183012 -0.348472
923 2207 89.214227 -86.388261 -0.869095
924 2207 89.214288 -86.593510 -0.827022
925 2207 89.214349 -86.798759 -0.484603
926 2207 89.214410 -87.004008 0.174483
927 2207 89.214471 -87.209257 0.087768
928 2207 89.214532 -87.414506 0.312321
929 2207 89.214593 -87.619755 -0.217466
930 2207 89.214654 -87.825004 0.069080
931 2207 89.214715 -88.030253 0.176638
932 2207 89.214776 -88.235502 -0.856409
933 2207 89.214837 -88.440751 -0.460659
934 2207 89.214898 -88.646000 0.034706
935 2207 89.214959 -88.851249 0.522881
936 2207 89.215020 -89.056498 0.353460
937 2207 89.215081 -89.261747 0.071319
938 2207 89.215143 -89.466996 -0.336625
939 2207 89.215204 -89.672245 0.007958
940 2207 89.215265 -89.877494 -0.076425
941 2207 89.215326 -90.082743 0.796755
942 2207 89.215387 -90.287992 0.218209
943 2207 89.215448 -90.493241 -0.529450
944 2207 89.215509 -90.698490 -0.871937
945 2207 89.215570 -90.903739 -0.292327
946 2207 89.215631 -91.108988 -0.331510
947 2207 89.215692 -91.314237 0.136883
948 2207 89.215753 -91.519486 -0.222206
949 2207 89.215814 -91.724735 1.098518
950 2207 89.215875 -91.929984 0.886157
951 2207 89.215936 -92.135233 -0.071222
952 2207 89.215997 -92.340482 0.578689
953 2207 89.216058 -92.545731 0.285331
954 2207 89.216119 -92.750980 -0.100793
955 2207 89.216181 -92.956229 -0.509085
956 2207 89.216242 -93.161478 -0.123605
957 2207 89.216303 -93.366727 0.128699
